employee_id,jenis_kelamin,usia,pendidikan_terakhir,status_pernikahan,departemen,lama_bekerja_tahun,tipe_perusahaan,status_wfh,jam_kerja_per_hari,jam_lembur_per_hari,jam_tidur_per_hari,kualitas_tidur,frekuensi_olahraga_per_minggu,jam_layar_per_hari,tingkat_stres,kepuasan_kerja,work_life_balance,produktivitas_diri,dukungan_atasan,frekuensi_meeting_per_hari,jumlah_deadline_per_minggu,beban_kerja_persepsi,status_merokok,riwayat_kesehatan_mental,keluhan_fisik_utama,keamanan_pekerjaan,frekuensi_konflik_kerja,tingkat_burnout_label
EMP01484,Laki-laki,24.0,D3,Menikah,Finance,0.4,,Hybrid,7.8,0.8,7.2,7.1,5.2,8.6,2.3,,9.8,5.7,7.0,2.0,1.0,Ringan,Tidak,Pernah Depresi,Tidak Ada,Aman,3.4,Low
EMP05477,Laki-laki,35.0,S1,Belum Menikah,Operations,1.0,Startup,Tidak,7.9,0.4,7.6,5.7,2.1,8.9,3.4,6.2,7.1,5.8,5.2,,1.0,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,1.7,Low
EMP05358,Perempuan,30.0,D3,Menikah,Sales,14.0,Corporate,Tidak,6.2,0.0,7.6,8.4,3.4,5.4,2.4,7.8,8.2,9.0,6.7,2.0,1.0,Ringan,Tidak,,Tidak Ada,Sangat Aman,2.4,Low
EMP11598,Perempuan,23.0,S2,Belum Menikah,Engineering,1.7,BUMN,Ya,9.5,0.7,6.3,4.5,0.8,6.4,6.5,4.3,4.3,6.9,6.8,3.0,2.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,4.6,Medium
EMP08792,Perempuan,25.0,S1,Belum Menikah,Marketing,0.7,Startup,Tidak,8.7,1.2,6.5,6.2,2.2,5.6,7.0,5.9,6.0,5.1,7.3,2.0,3.0,Ringan,Ya,Pernah Depresi,Nyeri Punggung,Aman,5.1,Medium
EMP04150,LAKI-LAKI,24.0,SMA/SMK,Belum Menikah,Product,10.3,Freelance,Hybrid,10.0,1.2,8.0,6.4,2.0,7.8,6.7,5.4,6.0,6.3,5.9,3.0,4.0,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Aman,5.5,Medium
EMP01420,Laki-laki,37.0,S1,Belum Menikah,Marketing,0.5,Corporate,Tidak,6.1,1.3,7.9,8.5,3.6,5.4,4.0,7.0,8.6,7.7,7.0,2.0,,Sangat Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,2.4,Low
EMP03844,Perempuan,33.0,S1,Menikah,Marketing,2.92,Corporate,Tidak,8.6,1.6,5.2,7.0,3.9,5.6,5.9,5.5,4.6,5.3,4.4,3.0,0.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Aman,6.4,Medium
EMP10746,Laki-laki,34.0,S1,Menikah,IT,8.0,Startup,Hybrid,6.4,0.0,8.4,9.2,4.8,8.1,3.8,7.5,8.7,,7.3,3.0,1.0,Ringan,Kadang,,Tidak Ada,Cukup Aman,2.4,Low
EMP15998,Laki-laki,28.0,D3,Belum Menikah,Data,0.2,Startup,Tidak,11.0,3.7,5.5,3.3,1.7,11.0,8.7,2.3,1.7,3.0,4.1,4.0,,Berat,Kadang,Tidak Ada,Mata Lelah,Cukup Aman,7.1,High
EMP06577,Laki-laki,33.0,S1,Belum Menikah,Sales,N/A,BUMN,Ya,7.7,0.7,9.2,6.8,4.7,6.1,3.9,5.6,5.4,7.8,9.4,2.0,0.0,Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,1.8,Low
EMP15826,Laki-laki,22.0,S1,Menikah,Product,1.4,Corporate,Ya,8.8,0.0,8.1,7.6,2.6,7.4,4.3,7.1,8.1,7.8,7.0,2.0,1.0,Ringan,Ya,Pernah Depresi,Sakit Kepala,Aman,1.3,Low
EMP00142,Perempuan,19.0,SMA/SMK,Belum Menikah,Operations,1.3,BUMN,Tidak,9.9,0.9,4.8,5.6,2.4,5.6,4.7,6.2,3.6,6.1,7.0,2.0,3.0,Ringan,Tidak,Tidak Ada,Tidak Ada,,5.4,Medium
EMP07815,Laki-laki,39.0,S1,Belum Menikah,Finance,0.1,BUMN,Hybrid,8.9,0.0,6.5,7.9,2.9,8.1,3.9,6.0,7.3,7.2,36.57,,1.0,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,4.0,Low
EMP15548,Perempuan,26.0,SMA/SMK,Menikah,Data,12.3,Freelance,Ya,7.8,0.7,6.8,6.7,6.0,6.7,3.1,7.4,7.1,8.7,6.7,3.0,0.0,Sedang,Tidak,Pernah Depresi,Tidak Ada,Aman,2.6,Low
EMP10510,Perempuan,30.0,SMA/SMK,Belum Menikah,Engineering,0.6,Corporate,Tidak,11.5,4.3,5.8,4.1,0.3,6.7,6.6,3.8,3.8,5.7,2.0,4.0,1.0,Berat,Kadang,Pernah Depresi,Sakit Kepala,Tidak Aman,6.0,High
EMP03815,Laki-laki,29.0,S2,Belum Menikah,Finance,1.0,Corporate,Hybrid,7.2,0.3,7.1,6.3,6.1,8.9,,4.3,8.3,5.9,6.9,0.0,1.0,Sedang,Ya,Tidak Ada,Tidak Ada,Sangat Aman,2.8,Low
EMP11162,Perempuan,21.0,S1,Menikah,Marketing,0.5,Startup,Hybrid,13.2,2.6,6.1,4.1,0.5,12.3,7.0,2.3,3.6,5.0,4.2,6.0,5.0,Berat,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,9.1,High
EMP10449,Laki-laki,33.0,S1,Belum Menikah,Data,3.3,Startup,Hybrid,12.1,3.6,5.1,5.1,1.5,8.6,6.1,3.7,3.7,3.9,3.2,3.0,4.0,Sedang,Tidak,Tidak Ada,Sakit Kepala,Khawatir,6.4,High
EMP17574,Laki-laki,21.0,D3,Menikah,Finance,0.1,Corporate,Tidak,8.2,0.9,7.8,6.5,2.7,8.4,6.8,5.3,2.8,7.8,3.5,6.0,1.0,Ringan,Kadang,Tidak Ada,Nyeri Punggung,Tidak Aman,2.4,Medium
EMP05282,Laki-laki,24.0,S2,Belum Menikah,Product,1.4,Freelance,Tidak,11.2,1.3,4.7,tidak tahu,2.8,5.4,6.8,3.4,7.3,5.9,6.1,3.0,3.0,Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,5.2,Medium
EMP04466,Perempuan,25.0,D3,Belum Menikah,Finance,0.1,Startup,Tidak,8.4,0.7,5.6,3.7,3.4,6.0,5.7,5.4,6.6,6.9,4.9,3.0,3.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,5.0,Medium
EMP04084,Perempuan,32.0,S1,Belum Menikah,,0.5,Corporate,Hybrid,9.8,-,4.6,7.0,1.9,6.0,5.5,7.6,4.7,6.6,4.4,2.0,3.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,4.6,Medium
EMP16171,Laki-laki,35.0,S1,Belum Menikah,,0.38,BUMN,Tidak,10.3,1.9,5.1,5.6,1.9,10.7,6.0,6.6,6.7,4.7,5.6,4.0,1.0,Ringan,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,3.7,Medium
EMP17214,Perempuan,33.0,S1,Belum Menikah,Product,3.6,Startup,Ya,10.0,3.9,4.5,2.9,0.7,6.7,7.7,5.0,4.3,5.1,4.2,3.0,4.0,Sedang,Tidak,Tidak Ada,Nyeri Punggung,Khawatir,6.0,High
EMP02601,Laki-laki,23.0,S1,Menikah,Data,1.7,Swasta,Hybrid,7.9,0.7,8.9,6.0,5.2,12.7,2.8,8.0,8.0,6.2,9.0,0.0,2.0,Sangat Ringan,Tidak,Pernah Depresi,Sakit Kepala,Aman,1.0,Low
EMP03900,Laki-laki,27.0,S1,Belum Menikah,Data,0.1,BUMN,Tidak,-,0.0,8.0,7.9,2.1,10.5,2.6,10.0,9.3,,6.2,2.0,2.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,2.7,Low
EMP14318,Perempuan,37.0,S1,Belum Menikah,Operations,12.0,Swasta,Tidak,8.2,2.0,7.9,7.9,3.7,14.0,6.5,4.6,5.8,6.4,4.5,3.0,3.0,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Tidak Aman,5.8,Medium
EMP17444,Laki-laki,30.0,SMA/SMK,Menikah,Operations,0.3,BUMN,Hybrid,6.0,0.3,7.2,8.7,3.2,8.3,3.7,8.3,8.8,6.6,5.9,2.0,1.0,Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,2.1,Low
EMP03954,Laki-laki,125.54,S1,Belum Menikah,Operations,6.2,Corporate,Tidak,10.8,1.8,3.9,4.9,0.9,8.6,6.1,1.6,2.8,4.8,5.8,5.0,3.0,Berat,Ya,Tidak Ada,Nyeri Punggung,Cukup Aman,9.4,High
EMP07819,Laki-laki,36.0,SMA/SMK,Belum Menikah,Finance,3.4,Startup,Tidak,10.6,1.1,6.6,5.2,1.6,6.0,4.1,7.0,5.0,7.1,6.0,1.0,4.0,Ringan,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,4.9,Medium
EMP05859,Laki-laki,18.0,S1,Menikah,HR,1.0,Corporate,Tidak,11.5,3.6,5.5,3.6,1.0,7.6,8.2,2.2,3.3,2.3,4.3,5.0,5.0,Sedang,Ya,Pernah Depresi,Sakit Kepala,Tidak Aman,8.0,High
EMP03215,Laki-laki,40.0,S2,Menikah,HR,0.5,Freelance,Ya,10.1,3.4,6.7,7.4,3.5,8.1,4.7,6.2,6.8,5.3,3.8,3.0,4.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Aman,6.5,Medium
EMP03202,Perempuan,34.0,S1,Menikah,Finance,3.9,Startup,Ya,6.4,0.0,7.3,4.7,3.1,8.1,3.7,7.3,7.0,8.0,6.4,3.0,2.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,2.1,Low
EMP08382,Laki-laki,21.0,S1,Belum Menikah,Operations,1.4,Swasta,Tidak,,0.0,8.0,8.2,5.2,5.2,2.6,8.8,5.1,8.5,7.9,2.0,0.0,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Aman,3.4,Low
EMP04388,Perempuan,32.0,S1,Menikah,Finance,2.8,Corporate,Tidak,13.6,4.0,3.2,4.7,0.4,9.3,7.5,5.0,3.0,4.1,5.0,4.0,-,Berat,Tidak,Tidak Ada,Nyeri Punggung,Khawatir,5.1,High
EMP12393,Perempuan,18.0,S2,Belum Menikah,Sales,0.1,Swasta,Tidak,10.3,0.4,5.8,7.1,2.6,8.1,4.2,5.8,4.5,4.8,5.7,5.0,2.0,Sedang,Ya,Tidak Ada,Tidak Ada,Tidak Aman,3.0,Medium
EMP15121,Laki-laki,25.0,D3,Belum Menikah,Finance,3.2,Freelance,Ya,5.7,0.5,7.6,9.1,12.79,10.4,2.8,9.0,6.4,8.1,7.0,2.0,1.0,Sedang,Tidak,Tidak Ada,Sakit Kepala,Aman,2.7,Low
EMP14450,Perempuan,28.0,D3,Menikah,Product,0.6,Freelance,Ya,10.1,2.3,7.9,7.8,3.1,10.0,4.5,9.2,8.8,8.1,6.0,2.0,0.0,Sangat Ringan,Kadang,Tidak Ada,Tidak Ada,Aman,1.8,Low
EMP10843,Perempuan,21.0,S2,Menikah,Product,6.1,Corporate,hybrid,7.7,,8.2,,3.0,7.9,4.6,7.5,7.2,8.3,8.7,1.0,1.0,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,1.0,Low
EMP00207,Perempuan,30.0,SMA/SMK,Menikah,Sales,0.3,BUMN,Tidak,8.4,0.9,7.3,6.9,1.3,9.3,7.4,6.3,5.2,5.9,8.0,2.0,2.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,6.3,Medium
EMP15594,Perempuan,28.0,S2,Menikah,Data,0.8,Freelance,Ya,12.4,2.3,5.5,5.6,3.1,8.5,6.2,6.4,6.6,7.2,6.6,5.0,2.0,Sedang,Kadang,Tidak Ada,Sakit Kepala,Aman,4.4,Medium
EMP01230,Perempuan,23.0,S2,Menikah,HR,11.6,Swasta,Tidak,8.4,0.5,6.8,8.5,3.1,9.2,3.2,9.9,6.9,6.7,5.9,1.0,1.0,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,2.1,Low
EMP16274,Perempuan,22.0,S1,Menikah,IT,0.1,BUMN,Tidak,12.5,,4.2,4.8,0.4,8.4,8.0,4.1,4.1,4.0,2.7,4.0,5.0,Sangat Berat,Tidak,Pernah Depresi,Sakit Kepala,Cukup Aman,,High
EMP07682,Perempuan,20.0,S1,Menikah,IT,8.0,Swasta,Hybrid,9.2,1.6,6.8,3.9,2.5,9.9,6.6,5.3,4.0,6.9,3.4,2.0,2.0,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Cukup Aman,3.7,Medium
EMP17204,Laki-laki,30.0,S1,Menikah,IT,0.7,BUMN,Tidak,5.4,1.1,9.5,6.4,2.3,8.0,4.3,8.5,7.5,9.3,6.6,2.0,2.0,Ringan,Ya,Tidak Ada,Sakit Kepala,Sangat Aman,1.7,Low
EMP15082,Perempuan,32.0,S1,Menikah,IT,1.4,BUMN,Tidak,11.3,3.2,4.4,3.2,0.0,8.1,6.9,2.7,2.8,4.8,1.9,4.0,4.0,Berat,Kadang,Tidak Ada,Nyeri Punggung,Khawatir,5.5,High
EMP04400,Laki-laki,26.0,S1,Belum Menikah,Finance,1.0,Startup,Ya,7.8,0.0,8.3,7.4,tidak tahu,8.3,4.3,7.2,9.5,6.3,5.2,1.0,1.0,Ringan,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,1.7,Low
EMP01625,Perempuan,25.0,S2,Belum Menikah,Sales,0.5,Freelance,Ya,7.9,3.0,6.5,7.1,1.6,10.6,5.4,5.5,4.3,4.9,3.6,5.0,1.0,Berat,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,3.8,Medium
EMP01007,Laki-laki,24.0,S1,Menikah,IT,2.9,Swasta,Ya,11.9,1.4,7.2,4.0,2.8,5.9,7.7,4.6,,5.8,4.7,5.0,2.0,Sedang,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,4.7,Medium
EMP00160,Laki-laki,31.0,S1,Menikah,Sales,3.4,Startup,Ya,11.5,4.1,3.1,4.0,,,6.8,3.4,3.2,4.6,3.0,6.0,3.0,Sedang,Tidak,Tidak Ada,Kelelahan,Cukup Aman,5.9,High
EMP13430,Laki-laki,24.0,S1,Belum Menikah,HR,1.1,swasta,Ya,12.2,2.4,4.1,2.3,0.3,10.7,7.6,3.7,3.9,2.9,5.0,5.0,6.0,,Tidak,KECEMASAN,Sakit Kepala,Tidak Aman,9.9,High
EMP12903,Perempuan,23.0,S2,Menikah,Marketing,3.46,BUMN,Ya,10.9,4.0,5.6,5.7,0.0,8.8,8.2,2.3,3.2,4.5,2.5,5.0,5.0,Sedang,Ya,Tidak Ada,Mata Lelah,Tidak Aman,4.7,High
EMP08808,Perempuan,25.0,D3,Belum Menikah,Data,5.8,BUMN,Tidak,7.5,0.0,6.5,4.0,3.2,8.1,,9.4,6.1,8.9,3.2,2.0,1.0,Sangat Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,2.3,Low
EMP00014,Laki-laki,29.0,,Menikah,Data,3.1,Swasta,,7.6,1.0,8.5,7.6,2.9,40.28,2.5,7.8,9.2,8.2,7.0,2.0,2.0,Ringan,Kadang,tidak ada,Tidak Ada,Sangat Aman,2.8,Low
EMP07101,Laki-laki,31.0,S1,Belum Menikah,IT,0.6,Corporate,Tidak,11.1,3.7,6.2,2.4,2.7,8.8,8.6,1.7,1.1,3.1,2.7,4.0,5.0,Sangat Berat,Kadang,Kecemasan,Sakit Kepala,Tidak Aman,7.7,High
EMP07667,Perempuan,32.0,S1,Belum Menikah,IT,2.0,,Hybrid,7.1,0.8,9.5,9.7,4.1,10.1,3.2,8.9,7.9,7.9,5.7,1.0,1.0,Sangat Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,2.4,Low
EMP12763,Laki-laki,36.0,S1,Menikah,Engineering,0.1,Corporate,Tidak,8.0,0.7,8.3,7.3,4.4,9.0,3.3,6.3,,,8.0,0.0,2.0,Sedang,Kadang,Pernah Depresi,Tidak Ada,Sangat Aman,3.9,Low
EMP03603,Laki-laki,23.0,S1,Belum Menikah,IT,1.2,Startup,Tidak,8.0,0.0,6.2,6.9,3.2,5.6,2.7,8.6,9.9,5.9,8.5,2.0,0.0,Sangat Ringan,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,2.5,Low
EMP09366,Laki-laki,37.0,S2,Belum Menikah,Marketing,4.3,Corporate,Ya,9.7,2.3,7.4,6.8,2.2,6.1,4.8,4.2,7.6,5.0,5.1,4.0,3.0,Ringan,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,5.6,Medium
EMP10385,Laki-laki,34.0,S1,Belum Menikah,Marketing,4.6,Swasta,Ya,8.5,0.7,6.8,10.0,3.0,7.2,2.4,8.1,7.6,6.9,5.1,3.0,1.0,Sangat Ringan,Ya,Pernah Depresi,Sakit Kepala,Aman,1.6,Low
EMP09596,Laki-laki,18.0,S1,Menikah,Product,0.4,Freelance,Tidak,11.7,3.4,5.2,6.3,1.9,8.1,8.1,4.4,3.3,4.8,3.9,5.0,3.0,Sedang,Tidak,Pernah Depresi,Sakit Kepala,Khawatir,7.2,High
EMP17476,Laki-laki,21.0,S1,Belum Menikah,,1.3,BUMN,Tidak,11.8,1.9,4.5,3.7,1.8,6.9,9.2,2.1,3.1,6.4,1.6,6.0,6.0,,Tidak,Tidak Ada,Sakit Kepala,Khawatir,8.2,High
EMP01118,Laki-laki,30.0,S1,Belum Menikah,,3.1,BUMN,Tidak,8.2,0.0,8.1,7.8,3.9,11.1,3.7,8.1,8.1,7.3,7.3,1.0,1.0,Ringan,Ya,Pernah Depresi,Sakit Kepala,Sangat Aman,2.4,Low
EMP16130,Laki-laki,37.0,S1,Belum Menikah,HR,2.2,BUMN,Hybrid,9.9,1.4,5.7,8.1,1.9,9.9,5.3,7.4,5.3,5.3,4.6,2.0,3.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,3.5,Medium
EMP03396,Perempuan,23.0,S1,Menikah,Engineering,0.1,Freelance,Tidak,6.8,2.0,5.4,6.3,4.0,8.6,6.3,6.0,5.1,8.3,5.8,3.0,2.0,Berat,TIDAK,Tidak Ada,Nyeri Punggung,Cukup Aman,24.7,Medium
EMP07070,Perempuan,36.0,SMA/SMK,Menikah,IT,2.9,Corporate,Tidak,11.0,1.9,6.4,6.5,3.3,11.2,5.8,5.1,4.3,5.7,6.3,2.0,3.0,Sedang,Ya,Pernah Depresi,Nyeri Punggung,Cukup Aman,4.8,Medium
EMP13621,Laki-laki,18.0,S1,Menikah,Engineering,3.8,BUMN,Ya,7.3,0.6,7.1,9.0,2.5,6.6,5.2,7.0,4.3,7.4,5.4,2.0,3.0,Sangat Ringan,Kadang,Tidak Ada,Tidak Ada,Sangat Aman,3.0,Low
EMP02113,Laki-laki,30.0,S1,Belum Menikah,Finance,0.3,Startup,Tidak,10.6,2.0,5.7,4.7,0.9,9.8,8.6,4.4,3.7,3.4,2.0,4.0,3.0,Sangat Berat,Tidak,Tidak Ada,Mata Lelah,Cukup Aman,8.3,High
EMP09054,Perempuan,41.0,S1,Belum Menikah,Engineering,1.4,Startup,Tidak,10.5,3.7,6.9,2.1,0.9,10.7,6.8,4.0,1.6,3.6,4.5,4.0,5.0,Berat,Tidak,Tidak Ada,Sakit Kepala,khawatir,6.8,High
EMP11264,Laki-laki,21.0,D3,Menikah,Product,3.2,Startup,Ya,12.3,3.7,,4.4,1.6,7.8,9.0,3.7,4.9,5.8,3.4,5.0,4.0,Berat,Tidak,Kecemasan,Sakit Kepala,Tidak Aman,6.9,High
EMP12885,Perempuan,38.0,SMA/SMK,Menikah,Operations,1.5,Swasta,Hybrid,12.8,3.0,4.5,4.7,2.3,14.9,9.2,3.2,3.3,,3.4,3.0,3.0,Berat,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,7.0,High
EMP03579,Laki-laki,33.0,S2,Belum Menikah,HR,1.7,Startup,Tidak,8.3,1.5,6.3,7.1,3.3,5.0,4.0,7.3,5.9,4.3,5.1,3.0,1.0,Ringan,Ya,Tidak Ada,Tidak Ada,Cukup Aman,3.7,Medium
EMP06978,Laki-laki,31.0,S2,Belum Menikah,Data,1.3,BUMN,Ya,12.0,,4.5,1.7,1.7,6.6,8.6,4.4,5.2,6.0,3.7,,4.0,Berat,Ya,Pernah Depresi,Mata Lelah,Khawatir,8.4,High
EMP11420,Laki-laki,28.0,S1,Belum Menikah,Finance,0.3,Corporate,Ya,9.5,0.6,6.0,6.4,2.5,8.6,,6.3,4.0,5.3,3.8,3.0,3.0,Ringan,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,4.6,Medium
EMP08267,Perempuan,30.0,S2,Belum Menikah,Sales,0.4,Swasta,Ya,8.5,0.0,8.3,7.8,4.7,9.0,5.2,7.9,7.2,6.2,6.4,2.0,1.0,Sangat Ringan,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,1.0,Low
EMP09718,Laki-laki,18.0,S2,,Data,1.1,Startup,Tidak,8.0,0.1,7.0,5.9,3.2,8.5,3.1,7.4,8.6,8.3,8.3,0.0,2.0,Ringan,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,2.4,Low
EMP07659,Laki-laki,,S2,Belum Menikah,Product,0.9,Swasta,Tidak,9.3,2.9,5.7,1.0,0.2,10.1,8.1,3.0,1.4,5.3,4.9,5.0,3.0,Sedang,Tidak,Kecemasan,Sakit Kepala,Tidak Aman,5.4,High
EMP13065,Perempuan,26.0,SMA/SMK,Menikah,Data,0.6,Corporate,Tidak,10.0,3.8,4.9,2.7,2.6,9.2,8.8,1.0,6.6,5.4,3.1,7.0,6.0,Sangat Berat,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,8.7,High
EMP17581,Laki-laki,33.0,S1,Belum Menikah,Marketing,10.5,Startup,Tidak,11.2,2.9,4.9,4.4,2.1,6.9,7.1,1.8,2.2,3.8,3.2,6.0,4.0,,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,7.5,High
EMP15679,Laki-laki,31.0,S1,Belum Menikah,Finance,0.8,Startup,Hybrid,8.5,0.4,4.9,6.9,0.4,9.6,5.5,4.4,7.9,5.0,8.1,3.0,1.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Aman,4.1,Medium
EMP02315,Perempuan,30.0,SMA/SMK,Menikah,Operations,1.8,Freelance,Ya,10.7,2.9,4.7,1.6,1.0,11.3,8.2,5.9,5.3,3.7,1.8,4.0,5.0,Sangat Berat,Kadang,Pernah Depresi,Mata Lelah,Cukup Aman,7.2,High
EMP09395,Laki-laki,38.0,S1,Belum Menikah,Operations,0.2,Corporate,Tidak,9.2,1.2,8.0,5.8,3.5,6.4,3.9,4.9,,7.8,7.0,1.0,0.0,Sangat Ringan,Tidak,Tidak Ada,Sakit Kepala,Aman,3.0,Low
EMP03230,Perempuan,24.0,S1,Menikah,Sales,3.8,Startup,Ya,11.2,2.9,6.0,1.3,1.0,7.6,7.6,4.7,4.3,1.0,6.1,5.0,6.0,Berat,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,9.0,High
EMP08116,Laki-laki,26.0,S2,Menikah,Data,1.1,Swasta,Ya,11.1,3.0,5.3,,1.5,9.2,9.4,2.3,1.0,5.3,4.7,5.0,5.0,Sangat Berat,Tidak,Tidak Ada,Kelelahan,Khawatir,4.8,High
EMP08453,Laki-laki,27.0,SMA/SMK,Belum Menikah,Sales,4.4,BUMN,Tidak,11.8,2.4,4.5,5.0,2.3,5.9,8.7,14.96,2.3,4.5,3.7,4.0,2.0,Sedang,Tidak,Tidak Ada,Mata Lelah,Khawatir,7.0,High
EMP10441,Laki-laki,35.0,D3,Menikah,HR,0.9,Startup,Hybrid,11.0,1.0,6.8,6.5,4.5,7.8,3.1,3.0,5.1,6.2,6.6,4.0,3.0,Sedang,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,2.8,Medium
EMP00872,Laki-laki,18.0,S2,Belum Menikah,,3.0,Corporate,Tidak,12.4,2.2,18.14,2.6,0.8,7.6,7.2,2.7,3.2,2.3,3.6,6.0,5.0,Berat,Ya,Tidak Ada,Nyeri Punggung,Tidak Aman,6.9,High
EMP02026,,46.0,S1,Belum Menikah,,0.4,Startup,Tidak,9.8,0.4,5.3,5.2,2.5,10.1,6.1,6.1,6.9,4.8,5.6,3.0,5.0,Sedang,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,4.1,Medium
EMP01335,Laki-laki,39.0,D3,Menikah,Data,2.1,BUMN,Tidak,12.0,3.3,12.34,5.3,2.6,7.5,10.0,3.3,4.8,4.3,3.9,6.0,4.0,,Tidak,tidak ada,Nyeri Punggung,Tidak Aman,6.7,High
EMP13229,Laki-laki,39.0,,Menikah,Data,0.5,Freelance,Ya,10.0,1.4,6.7,5.5,2.0,10.4,5.3,4.8,6.0,7.3,7.3,1.0,2.0,Sedang,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,1.0,Medium
EMP00584,Laki-laki,19.0,S1,Menikah,Data,2.9,BUMN,Hybrid,10.2,3.0,4.9,4.1,0.9,3.0,6.1,3.8,3.0,4.9,3.1,5.0,6.0,Sangat Berat,Tidak,Tidak Ada,Nyeri Punggung,Tidak Aman,6.5,High
EMP15194,Perempuan,N/A,SMA/SMK,MENIKAH,IT,1.8,Swasta,Tidak,10.9,4.1,5.1,2.0,0.0,10.9,9.5,3.0,5.5,5.0,2.3,5.0,4.0,Sangat Berat,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,6.7,High
EMP09740,Perempuan,30.0,S1,Belum Menikah,Marketing,2.8,Freelance,Tidak,10.6,1.8,6.4,6.2,0.6,5.8,4.6,3.5,5.2,4.9,5.9,4.0,2.0,Sedang,Ya,Tidak Ada,Nyeri Punggung,Aman,5.2,Medium
EMP13905,Laki-laki,29.0,S1,Belum Menikah,IT,0.9,Startup,Ya,12.1,1.8,4.7,3.0,0.3,N/A,7.7,3.6,2.0,5.3,3.5,5.0,5.0,Berat,Tidak,Pernah Depresi,Kelelahan,Cukup Aman,6.3,High
EMP00546,Perempuan,27.0,S1,Menikah,Data,1.1,Swasta,Tidak,7.7,0.0,7.2,6.5,5.1,11.7,2.6,7.3,7.5,7.4,8.6,3.0,1.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Sangat Aman,1.0,Low
EMP00692,Perempuan,22.0,S1,Belum Menikah,Engineering,0.4,Startup,Hybrid,10.5,2.1,5.0,7.2,2.4,6.1,6.5,5.3,5.9,6.7,5.1,2.0,2.0,Ringan,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,3.9,Medium
EMP14648,Laki-laki,18.0,S2,Menikah,,0.8,Freelance,Ya,12.8,3.8,5.5,4.5,1.0,9.0,8.0,2.6,3.9,2.8,3.5,5.0,6.0,Sangat Berat,Ya,Tidak Ada,Nyeri Punggung,Tidak Aman,8.2,High
EMP03154,Laki-laki,23.0,S2,Belum Menikah,Sales,2.0,Corporate,Hybrid,,1.7,,6.9,2.9,7.8,4.3,9.2,8.2,9.5,,1.0,0.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,1.0,Low
EMP11025,Laki-laki,28.0,SMA/SMK,Menikah,Sales,4.7,Freelance,Ya,7.7,0.0,9.8,5.9,4.1,10.6,2.3,7.6,8.6,7.3,8.6,1.0,0.0,Sangat Ringan,Tidak,Pernah Depresi,Tidak Ada,,4.96,Low
EMP16349,Perempuan,36.0,SMA/SMK,Menikah,Engineering,0.7,Swasta,,7.4,0.6,7.5,8.0,3.8,7.2,4.6,7.8,6.8,6.0,7.3,3.0,2.0,Sedang,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,1.6,Low
